file	percent	reads	taxon_id	taxon_name
ERR3450203.kaiju.out	0.000040	8	85031	Nakamurellaceae
ERR3450203.kaiju.out	0.000040	8	118883	Sulfolobaceae
ERR3450203.kaiju.out	0.000040	8	227387	Thermodesulfobiaceae
ERR3450203.kaiju.out	0.000040	8	570265	Methanocellaceae
ERR3450203.kaiju.out	0.000040	8	1198451	Methanoregulaceae
ERR3450203.kaiju.out	0.000040	8	2805416	Jatrophihabitantaceae
ERR3450203.kaiju.out	0.000035	7	85022	Jonesiaceae
ERR3450203.kaiju.out	0.000035	7	513556	Syntrophorhabdaceae
ERR3450203.kaiju.out	0.000035	7	1033997	Nitrososphaeraceae
ERR3450203.kaiju.out	0.000035	7	1382930	Ardenticatenaceae
ERR3450203.kaiju.out	0.000035	7	1442156	Ferrovaceae
ERR3450203.kaiju.out	0.000035	7	1505234	Chitinivibrionaceae
ERR3450203.kaiju.out	0.000035	7	1553902	Oligoflexaceae
ERR3450203.kaiju.out	0.000035	7	1798913	Microthrixaceae
ERR3450203.kaiju.out	0.000035	7	1934946	Immundisolibacteraceae
ERR3450203.kaiju.out	0.000030	6	85028	Tsukamurellaceae
ERR3450203.kaiju.out	0.000030	6	85032	Acidothermaceae
ERR3450203.kaiju.out	0.000030	6	196117	Methanocaldococcaceae
ERR3450203.kaiju.out	0.000030	6	206349	Hydrogenophilaceae
ERR3450203.kaiju.out	0.000030	6	224464	Kofleriaceae
ERR3450203.kaiju.out	0.000030	6	596498	Nitriliruptoraceae
ERR3450203.kaiju.out	0.000030	6	795749	Ignavibacteriaceae
ERR3450203.kaiju.out	0.000030	6	1055686	Sandaracinaceae
ERR3450203.kaiju.out	0.000030	6	1077264	Chthonomonadaceae
